vehicle,initial,final,times,dates,differences
Sedan,NA,20,17:33,4/10/2025,NA
Suv,NA,23,17:34,4/10/2025,NA
Suv,NA,18,17:35,4/10/2025,NA
Pickup Truck,NA,27,17:36,4/10/2025,NA
Sedan,NA,25,17:37,4/10/2025,NA
Suv,NA,20,17:40,4/10/2025,NA
Suv,NA,10,14:54,4/7/2025,NA
Suv,NA,20,14:54,4/7/2025,NA
Suv,NA,14,14:55,4/7/2025,NA
Suv,NA,28,14:55,4/7/2025,NA
Pickup Truck,NA,25,14:56,4/7/2025,NA
Sedan,NA,16,14:57,4/7/2025,NA
Suv,NA,25,14:57,4/7/2025,NA
Pickup Truck,NA,31,14:58,4/7/2025,NA
Suv,NA,31,14:58,4/7/2025,NA
Suv,NA,16,14:59,4/7/2025,NA
Suv,NA,25,14:59,4/7/2025,NA
Suv,NA,12,15:00,4/7/2025,NA
Suv,NA,12,15:00,4/7/2025,NA
Sedan,NA,30,15:00,4/7/2025,NA
Suv,NA,30,15:01,4/7/2025,NA
Suv,NA,29,15:01,4/7/2025,NA
Suv,NA,34,15:02,4/7/2025,NA
Suv,NA,25,15:02,4/7/2025,NA
Pickup Truck,NA,25,15:03,4/7/2025,NA
Suv,NA,33,15:03,4/7/2025,NA
Pickup Truck,NA,31,15:04,4/7/2025,NA
Pickup Truck,NA,29,15:04,4/7/2025,NA
Sedan,NA,33,15:04,4/7/2025,NA
Suv,NA,19,15:05,4/7/2025,NA
Suv,NA,32,15:05,4/7/2025,NA
Sedan,NA,19,17:49,4/14/2025,NA
Suv,NA,26,17:49,4/14/2025,NA
Sedan,NA,14,17:50,4/14/2025,NA
Suv,NA,22,17:50,4/14/2025,NA
Suv,NA,17,17:51,4/14/2025,NA
Pickup Truck,NA,29,17:52,4/14/2025,NA
Suv,NA,33,17:52,4/14/2025,NA
Suv,NA,12,17:53,4/14/2025,NA
Pickup Truck,NA,27,17:53,4/14/2025,NA
Suv,NA,25,17:54,4/14/2025,NA
Suv,NA,18,17:55,4/14/2025,NA
Sedan,NA,31,17:55,4/14/2025,NA
Suv,NA,24,17:56,4/14/2025,NA
Suv,NA,16,17:56,4/14/2025,NA
Pickup Truck,NA,22,17:57,4/14/2025,NA
Suv,NA,13,17:57,4/14/2025,NA
Suv,NA,30,17:58,4/14/2025,NA
Suv,NA,21,17:59,4/14/2025,NA
Suv,NA,25,17:59,4/14/2025,NA
Suv,NA,19,18:00,4/14/2025,NA
Sedan,NA,27,18:00,4/14/2025,NA
Suv,NA,23,18:01,4/14/2025,NA
Pickup Truck,NA,31,18:01,4/14/2025,NA
Suv,NA,28,18:02,4/14/2025,NA
Suv,NA,20,18:02,4/14/2025,NA
Suv,NA,16,18:03,4/14/2025,NA
Pickup Truck,NA,35,18:04,4/14/2025,NA
Suv,NA,18,18:04,4/14/2025,NA
Suv,NA,22,18:05,4/14/2025,NA
Suv,NA,24,18:05,4/14/2025,NA
Sedan,NA,29,18:06,4/14/2025,NA
Sedan,NA,13,18:06,4/14/2025,NA
Suv,NA,21,18:07,4/14/2025,NA
Suv,NA,34,18:07,4/14/2025,NA
Suv,NA,32,18:08,4/14/2025,NA
Pickup Truck,NA,15,18:08,4/14/2025,NA
Suv,NA,17,18:09,4/14/2025,NA
Suv,NA,26,18:10,4/14/2025,NA
Suv,NA,18,18:10,4/14/2025,NA
Sedan,NA,30,18:11,4/14/2025,NA
Sedan,NA,14,18:11,4/14/2025,NA
Pickup Truck,NA,33,18:12,4/14/2025,NA
Pickup Truck,NA,19,18:12,4/14/2025,NA
Suv,NA,22,18:13,4/14/2025,NA
Suv,NA,16,18:13,4/14/2025,NA
Suv,NA,24,18:14,4/14/2025,NA
Suv,NA,27,18:14,4/14/2025,NA
Suv,NA,28,18:15,4/14/2025,NA
Suv,NA,31,18:15,4/14/2025,NA
Sedan,NA,20,18:16,4/14/2025,NA
Hatchback,NA,30,19:11,4/3/2025,NA
Sedan,NA,24,19:11,4/3/2025,NA
Suv,NA,33,19:12,4/3/2025,NA
Muscle Car,NA,31,19:12,4/3/2025,NA
Sedan,NA,27,19:13,4/3/2025,NA
Pickup Truck,NA,24,19:13,4/3/2025,NA
Suv,NA,21,19:14,4/3/2025,NA
Sedan,NA,35,19:14,4/3/2025,NA
Suv,NA,17,19:15,4/3/2025,NA
Suv,NA,20,19:16,4/3/2025,NA
Suv,NA,31,19:16,4/3/2025,NA
Suv,NA,35,19:17,4/3/2025,NA
Coupe,NA,21,19:17,4/3/2025,NA
Sedan,NA,31,19:18,4/3/2025,NA
Suv,NA,24,19:18,4/3/2025,NA
Suv,NA,11,19:18,4/3/2025,NA
Minivan,NA,21,19:19,4/3/2025,NA
Crossover,NA,27,19:20,4/3/2025,NA
Suv,NA,31,19:20,4/3/2025,NA
Suv,NA,27,19:20,4/3/2025,NA
Pickup Truck,NA,27,19:21,4/3/2025,NA
Suv,NA,26,19:21,4/3/2025,NA
Suv,NA,37,19:21,4/3/2025,NA
Sedan,NA,26,19:21,4/3/2025,NA
Pickup Truck,NA,27,19:22,4/3/2025,NA
Sedan,NA,30,19:22,4/3/2025,NA
Hatchback,NA,32,19:22,4/3/2025,NA
Suv,NA,34,19:23,4/3/2025,NA
Pickup Truck,NA,29,19:23,4/3/2025,NA
Hatchback,NA,32,19:24,4/3/2025,NA
Sedan,NA,34,19:24,4/3/2025,NA
Sedan,NA,19,19:24,4/3/2025,NA
Sedan,NA,31,19:26,4/3/2025,NA
Suv,NA,13,19:26,4/3/2025,NA
Hatchback,NA,29,19:27,4/3/2025,NA
Suv,NA,31,19:27,4/3/2025,NA
Pickup Truck,NA,28,19:27,4/3/2025,NA
Hatchback,NA,23,19:27,4/3/2025,NA
Sedan,NA,38,19:28,4/3/2025,NA
Suv,NA,34,19:29,4/3/2025,NA
Minivan,NA,33,19:29,4/3/2025,NA
Sedan,NA,27,19:29,4/3/2025,NA
Sedan,NA,34,19:29,4/3/2025,NA
Suv,NA,29,19:30,4/3/2025,NA
